Time	IRA_Moderate_Incentives	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050
Output Electricity Generation by Type[hard coal es]	IRA_Moderate_Incentives	51.6528	57.4862	60.2567	60.1831	60.8157	61.9479	62.224	61.9967	56.4735	56.2983	56.0601	56.1431	56.2808	56.3897	54.4297	53.8869	53.8627	53.8789	53.8302	47.147	47.0941	47.0807	47.1028	47.1098	47.1095	47.1532	47.1292	47.1183	47.1518	46.845	46.8339
Output Electricity Generation by Type[natural gas nonpeaker es]	IRA_Moderate_Incentives	5.89957	6.24176	0.904429	1.70876	1.81108	1.27686	1.07379	1.29494	1.62169	1.37849	1.03225	0.912924	0.760204	0.681061	0.506951	0.449444	0.453523	0.451036	0.504125	0.628723	0.663827	0.687481	0.672639	0.664198	0.674914	0.631357	0.658863	0.669742	0.629337	0.672153	0.734521
Output Electricity Generation by Type[nuclear es]	IRA_Moderate_Incentives	6.99421	1.7395	4.09623	4.09623	4.09623	4.09623	4.09623	4.09623	4.09623	4.09623	4.09623	4.09623	4.09623	1.95001	1.95001	1.95001	1.95001	1.95001	1.95001	1.95001	1.95001	1.95001	1.95001	1.95001	1.95001	1.95001	1.95001	1.95001	1.95001	1.95001	1.95001
Output Electricity Generation by Type[hydro es]	IRA_Moderate_Incentives	1.8794	1.82797	1.8794	1.8794	1.8794	1.8794	1.8794	1.8794	1.8794	1.8794	1.8794	1.8794	1.8794	1.8794	1.8794	1.8794	1.8794	1.8794	1.8794	1.8794	1.8794	1.8794	1.8794	1.8794	1.8794	1.8794	1.8794	1.8794	1.8794	1.8794	1.8794
Output Electricity Generation by Type[onshore wind es]	IRA_Moderate_Incentives	4.76208	8.66913	8.66913	8.66913	8.66913	8.7804	9.22547	9.65201	12.3781	13.0828	14.1213	14.9188	15.6606	17.478	19.3139	20.3895	21.0571	21.7804	22.3367	24.525	25.0628	25.545	26.0827	26.601	27.0998	27.5977	28.1133	28.6092	29.1057	29.9263	30.6477
Output Electricity Generation by Type[solar PV es]	IRA_Moderate_Incentives	0.0975768	0.858178	0.897073	0.897613	0.897613	1.01438	1.51602	2.03496	5.39079	6.28842	6.98187	7.54313	8.0805	9.42975	10.7828	11.6088	12.1364	13.0142	13.7451	19.2577	19.971	20.6242	21.3424	22.0301	22.6959	23.3439	23.9997	24.6202	25.2182	25.8363	26.3553
Output Electricity Generation by Type[solar thermal es]	IRA_Moderate_Incentives	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Output Electricity Generation by Type[biomass es]	IRA_Moderate_Incentives	0.080629	0.0888251	0.0007884	0.0007884	0.0007884	0.0007884	0.0007884	0.0007884	0.0086724	0.0007884	0.0007884	0.0007884	0.0007884	0.0007884	0.0007884	0.0007884	0.0007884	0.0007884	0.0007884	0.0244404	0.0244404	0.0244404	0.0244404	0.0244404	0.0244404	0.0244404	0.0244404	0.0244404	0.0244404	0.0244404	0.0244404
Output Electricity Generation by Type[geothermal es]	IRA_Moderate_Incentives	0	0.0652652	0.0671016	0.0671016	0.0671016	0.0671016	0.0671016	0.0671016	0.201305	0.201305	0.201305	0.201305	0.201305	0.268406	0.0671016	0	0	0	0	0.0671016	0.0671016	0.0671016	0.0671016	0.0671016	0.0671016	0.0671016	0.0671016	0.0671016	0.0671016	0.0671016	0.0671016
Output Electricity Generation by Type[petroleum es]	IRA_Moderate_Incentives	0.0773743	0.239755	0.239134	0.238514	0.237893	0.237272	0.234551	0.233909	0.233267	0.232624	0.231982	0.23134	0.230698	0.230055	0.229413	0.228771	0.228129	0.227486	0.226844	0.226202	0.225559	0.224917	0.224275	0.223633	0.22299	0.222348	0.221706	0.221063	0.220421	0.219779	0.219137
Output Electricity Generation by Type[natural gas peaker es]	IRA_Moderate_Incentives	1.13558	0.906389	0.933028	0.935138	0.933529	0.928791	0.879049	0.878245	0.877172	0.874104	0.870375	0.867582	0.86437	0.861657	0.858581	0.856051	0.854017	0.851925	0.850536	0.849206	0.847492	0.845671	0.843477	0.841349	0.839401	0.836909	0.835138	0.833192	0.830699	0.82907	0.827646
Output Electricity Generation by Type[lignite es]	IRA_Moderate_Incentives	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Output Electricity Generation by Type[offshore wind es]	IRA_Moderate_Incentives	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Output Electricity Generation by Type[crude oil es]	IRA_Moderate_Incentives	0.0216547	0.0174801	0.0216547	0.0216547	0.0216547	0.0216547	0.0216547	0.0216547	0.0216547	0.0216547	0.0216547	0.0216547	0.0216547	0.0216547	0.0216547	0.0216547	0.0216547	0.0216547	0.0216547	0.0216547	0.0216547	0.0216547	0.0216547	0.0216547	0.0216547	0.0216547	0.0216547	0.0216547	0.0216547	0.0216547	0.0216547
Output Electricity Generation by Type[heavy or residual fuel oil es]	IRA_Moderate_Incentives	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Output Electricity Generation by Type[municipal solid waste es]	IRA_Moderate_Incentives	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
